sales_id,created_at,quantity,gross_sales,discount,tax,net_sales,product_id,customer_id
1,2019-02-12T04:40:27.892+07:00,2,53.07029880169554,0.0,5.307029880169555,47.763268921525985,14,1
2,2018-05-15T15:04:04.58+07:00,3,240.24966237945617,0.0,24.02496623794562,216.22469614151055,123,1
3,2019-12-07T05:22:48.544+07:00,2,71.78836355169095,6.416679208849759,6.537168434284119,58.834515908557072,105,1
4,2019-08-22T23:30:42.392+07:00,6,460.02471659867103,0.0,46.002471659867105,414.022244938803925,94,1
5,2018-10-10T10:34:47.309+07:00,5,448.76622509248057,0.0,44.87662250924806,403.88960258323251,132,1
6,2019-11-06T23:38:50.134+07:00,3,60.4679558978688,0.0,6.04679558978688,54.42116030808192,60,1
7,2018-09-11T18:22:26.521+07:00,5,330.68030143843356,0.0,33.06803014384336,297.61227129459020,55,1
8,2019-06-17T09:37:41.693+07:00,7,345.58542692387266,8.653952930206964,33.69314739936657,303.238326594299126,65,1
9,2017-05-03T23:00:54.923+07:00,3,251.12061966155647,3.594742155259162,24.752587750629733,222.773289755667575,184,1
10,2020-01-17T08:44:37.233+07:00,2,131.57254601920386,0.0,13.157254601920386,118.415291417283474,6,1
11,2018-07-23T03:31:01.969+07:00,6,255.60153987303977,0.0,25.560153987303977,230.041385885735793,76,1
12,2018-06-27T06:21:13.271+07:00,7,745.797872904224,0.0,74.5797872904224,671.2180856138016,7,3
13,2019-04-06T08:04:43.973+07:00,2,81.76184651386933,2.1173410336074987,7.964450548026183,71.6800549322356483,70,3
14,2017-05-26T03:50:37.137+07:00,4,217.29630794255957,0.0,21.729630794255957,195.566677148303613,139,3
15,2018-06-26T09:24:38.715+07:00,5,398.3720418559883,0.0,39.837204185598836,358.534837670389464,116,3
16,2017-12-14T18:28:30.031+07:00,1,79.05405135940771,0.0,7.9054051359407715,71.1486462234669385,68,3
17,2020-02-06T19:14:36.282+07:00,1,85.35620714710436,0.0,8.535620714710436,76.820586432393924,48,3
18,2020-04-11T06:29:46.804+07:00,2,164.19616288851884,0.0,16.419616288851884,147.776546599666956,12,3
19,2019-02-14T14:28:31.104+07:00,1,71.0564796145529,0.0,7.10564796145529,63.95083165309761,136,3
20,2018-04-21T11:18:01.863+07:00,4,138.61370977765304,9.480671222888349,12.91330385547647,116.219734699288221,160,3
21,2018-05-02T10:57:22.388+07:00,5,380.43973232188694,0.0,38.0439732321887,342.39575908969824,94,3
22,2019-12-13T04:32:01.533+07:00,1,32.15386225425128,6.752650070439861,2.5401212183811417,22.8610909654302773,10,4
23,2019-06-02T18:33:15.096+07:00,5,188.98098725590768,0.0,18.898098725590767,170.082888530316913,85,4
24,2019-09-21T00:28:38.643+07:00,6,158.56400677074873,0.0,15.856400677074873,142.707606093673857,14,4
25,2019-12-21T19:23:13.696+07:00,2,152.45078467705102,0.0,15.245078467705103,137.205706209345917,97,4
26,2018-06-20T09:18:00.254+07:00,5,353.4132675358748,0.0,35.34132675358748,318.07194078228732,40,5
27,2019-04-28T14:01:15.932+07:00,2,54.074745573357504,0.0,5.4074745573357506,48.6672710160217534,14,6
28,2018-05-24T01:15:24.432+07:00,4,368.32859945175795,9.145059274307002,35.918354017745095,323.265186159705853,49,6
29,2018-03-08T05:56:54.735+07:00,1,81.52485066912726,0.0,8.152485066912726,73.372365602214534,45,6
30,2019-04-15T19:24:20.17+07:00,3,141.76400848908864,0.0,14.176400848908864,127.587607640179776,179,6
31,2018-05-22T11:28:04.569+07:00,6,533.4302620867262,0.0,53.343026208672626,480.087235878053574,191,7
32,2018-06-04T12:11:15.294+07:00,7,298.13276604096455,0.0,29.81327660409646,268.31948943686809,82,7
33,2019-06-18T18:17:03.676+07:00,4,344.95834999269164,6.481030997355338,33.847731899533635,304.629587095802667,172,7
34,2019-01-05T04:12:38.428+07:00,1,36.10122116396646,0.0,3.6101221163966457,32.4910990475698143,3,7
35,2017-10-10T08:37:18.769+07:00,5,211.37969869969317,0.0,21.137969869969318,190.241728829723852,21,7
36,2018-07-04T07:34:31.322+07:00,4,164.56037428120553,0.0,16.456037428120553,148.104336853084977,145,7
37,2017-08-30T19:40:52.641+07:00,4,218.7872334565623,0.0,21.87872334565623,196.90851011090607,17,7
38,2018-07-26T06:27:34.53+07:00,5,382.1723477417633,0.0,38.21723477417633,343.95511296758697,39,7
39,2018-05-09T10:09:25.897+07:00,4,203.85594557788764,0.0,20.385594557788764,183.470351020098876,142,7
40,2019-11-22T06:35:02.479+07:00,2,195.6481775217283,0.0,19.56481775217283,176.08335976955547,101,7
41,2018-12-04T07:08:37.569+07:00,2,109.9402285641917,0.0,10.994022856419171,98.946205707772529,51,7
42,2019-11-16T15:11:08.666+07:00,3,126.05408870787161,0.0,12.605408870787162,113.448679837084448,145,7
43,2019-11-04T03:24:38.219+07:00,3,107.0850647031968,0.0,10.708506470319682,96.376558232877118,193,8
44,2017-10-01T21:47:29.444+07:00,6,560.4723271673726,0.0,56.047232716737255,504.425094450635345,101,8
45,2017-09-25T07:11:10.923+07:00,5,425.9121636386538,0.0,42.591216363865385,383.320947274788415,141,8
46,2018-06-14T10:09:15.751+07:00,4,289.842557273634,0.0,28.9842557273634,260.8583015462706,8,8
47,2018-07-06T07:35:40.063+07:00,4,310.2290023858698,0.0,31.022900238586985,279.206102147282815,104,8
48,2019-05-17T03:17:06.72+07:00,5,243.90682652430453,0.0,24.390682652430456,219.516143871874074,140,8
49,2019-11-17T16:19:09.682+07:00,3,300.67442093449586,0.0,30.067442093449586,270.606978841046274,157,8
50,2018-01-01T14:26:31.444+07:00,2,162.78744551533666,0.0,16.278744551533666,146.508700963802994,12,8
51,2017-12-06T10:46:28.378+07:00,2,106.072662703454,0.0,10.6072662703454,95.4653964331086,114,8
52,2018-07-16T06:04:22.325+07:00,3,157.32672126882184,0.0,15.732672126882186,141.594049141939654,34,9
53,2018-09-15T20:06:14.139+07:00,3,85.41617752647002,0.0,8.541617752647003,76.874559773823017,79,9
54,2018-10-27T03:41:23.428+07:00,4,323.1015340143865,7.63762060148704,31.54639134128995,283.91752207160951,68,10
55,2017-08-16T16:51:35.096+07:00,5,247.0018030563399,0.0,24.700180305633992,222.301622750705908,149,10
